Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2014-07-01,92807,30652,258662,62155
COCOA - ICE FUTURES U.S.,2014-07-08,92979,30872,255100,62107
COCOA - ICE FUTURES U.S.,2014-07-15,92353,31178,253474,61175
COCOA - ICE FUTURES U.S.,2014-07-22,93073,29625,254773,63448
COCOA - ICE FUTURES U.S.,2014-07-29,98992,34356,262545,64636
COCOA - ICE FUTURES U.S.,2014-08-05,102683,35162,244797,67521
COCOA - ICE FUTURES U.S.,2014-08-12,107352,36834,247130,70518
COCOA - ICE FUTURES U.S.,2014-08-19,106217,36914,243122,69303
COCOA - ICE FUTURES U.S.,2014-08-26,104959,36408,243643,68551
COCOA - ICE FUTURES U.S.,2014-09-02,107455,37216,250226,70239
